subject,method,band,window,car,cv_accuracy,cv_std,Accuracy,Precision,Recall,F1-score,kappa
A01,FBCSP+LDA,4-40Hz,0.5-4.0s,False,0.8230490018148819,0.04248185330647973,0.7931034482758621,0.8118531232121495,0.7931034482758621,0.7921885307869736,0.7239190797302657
A02,FBCSP+LDA,7-35Hz,1.0-4.0s,False,0.6875378100423473,0.0284961524170867,0.6724137931034483,0.6919540229885057,0.6724137931034483,0.6699233716475096,0.5635643564356436
A03,CSP+SVM,8-30Hz,0.5-3.5s,False,0.8678765880217785,0.05008014886293065,0.8793103448275862,0.9076923076923077,0.8793103448275862,0.882782231666613,0.8393351800554016
A04,FBCSP+LDA,8-30Hz,0.5-2.5s,False,0.5033272837265577,0.07456812158281152,0.5862068965517241,0.6363797840090943,0.5862068965517241,0.5817818526383599,0.4495848161328587
A05,FBCSP+LDA,4-40Hz,0.5-4.0s,True,0.7500302480338777,0.013243803795544342,0.7758620689655172,0.773608934169279,0.7758620689655172,0.7713533555802744,0.7009123363744546
A06,FBCSP+LDA,4-40Hz,0.5-4.0s,False,0.4897761645493043,0.07011110596045723,0.5,0.514367816091954,0.5,0.5043538836642285,0.3330689928628072
A07,FBCSP+LDA,8-30Hz,0.5-4.0s,False,0.7952208106473078,0.029371448341851777,0.8103448275862069,0.8142407161803714,0.8103448275862069,0.809892531972621,0.7471264367816092
A08,CSP+SVM,4-40Hz,0.5-3.5s,True,0.8682395644283123,0.04124288084063447,0.896551724137931,0.8962438423645319,0.896551724137931,0.8958996586245254,0.8620142743854085
A09,CSP+SVM,7-35Hz,0.5-2.5s,True,0.7603750756200848,0.04452954421709555,0.6896551724137931,0.7137931034482758,0.6896551724137931,0.6912283074149199,0.5865346534653466
